09:19:00.038-> ,879,640,580,X,Y
09:19:05.083-> ,992,815,713,-60,40
09:19:08.111-> ,1046,881,788,-50,40
09:19:10.993-> ,1087,926,849,-40,40
09:19:13.918-> ,1108,968,904,-30,40
09:19:17.371-> ,1133,1005,953,-20,40
09:19:20.664-> ,1145,1036,1002,-10,40
09:19:23.187-> ,1158,1061,1034,0,40
09:19:26.733-> ,1162,1085,1077,10,40
09:19:29.701-> ,1166,1102,1116,20,40
09:19:32.129-> ,1174,1125,1192,30,40
09:19:34.762-> ,1176,1140,1222,40,40
09:19:37.451-> ,1177,1151,1277,50,40
09:19:40.468-> ,1195,1162,1362,60,40
09:19:44.893-> ,1040,864,772,-60,30
09:19:47.992-> ,1072,903,818,-50,30
09:19:51.031-> ,1101,944,869,-40,30
09:19:53.596-> ,1120,979,911,-30,30
09:19:56.507-> ,1146,1014,959,-20,30
09:20:00.224-> ,1153,1050,998,-10,30
09:20:41.081-> ,1160,1071,1037,0,30
09:20:44.080-> ,1167,1095,1079,10,30
09:20:47.530-> ,1169,1116,1118,20,30
09:20:50.985-> ,1172,1133,1158,30,30
09:20:54.533-> ,1176,1147,1203,40,30
09:20:57.467-> ,1178,1257,1253,50,30
09:21:00.698-> ,1176,1170,1304,60,30
09:22:09.373-> ,1088,915,822,-60,20
09:22:12.751-> ,1105,939,849,-50,20
09:22:16.457-> ,1117,963,886,-40,20
09:22:19.414-> ,1132,994,925,-30,20
09:22:22.396-> ,1146,1022,962,-20,20
09:22:52.836-> ,1148,1050,999,-10,20
09:22:56.963-> ,1159,1078,1037,0,20
09:23:01.084-> ,1163,1100,1074,10,20
09:23:06.859-> ,1171,1123,1110,20,20
09:23:09.874-> ,1167,1137,1139,30,20
09:23:13.610-> ,1168,1158,1184,40,20
09:23:17.548-> ,1172,1172,1219,50,20
09:23:20.710-> ,1170,1182,1259,60,20
09:23:25.495-> ,1130,944,857,-60,10
09:23:28.514-> ,1140,963,883,-50,10
09:23:31.341-> ,1144,984,910,-40,10
09:23:39.341-> ,1151,1009,943,-30,10
09:23:45.065-> ,1160,1033,969,-20,10
09:23:47.677-> ,1161,1061,1003,-10,10
09:23:51.154-> ,1164,1084,1036,0,10
09:23:54.200-> ,1165,1113,1070,10,10
09:23:57.011-> ,1163,1123,1097,20,10
09:23:59.682-> ,1173,1151,1132,30,10
09:24:04.798-> ,1166,1162,1169,40,10
