876,675,573,X,Y
974,777,692,-60,40
1044,860,788,-50,40
1080,909,848,-40,40
1106,948,897,-30,40
1127,986,941,-20,40
1144,1021,990,-10,40
1151,1047,1030,0,40
1153,1067,1065,10,40
1162,1091,1108,20,40
1162,1109,1150,30,40
1162,1120,1194,40,40
1171,1141,1271,50,40
1169,1147,1337,60,40
1037,846,769,-60,30
1071,889,817,-50,30
1098,928,868,-40,30
1116,962,906,-30,30
1129,991,945,-20,30
1144,1023,987,-10,30
1150,1050,1025,0,30
1157,1074,1062,10,30
1163,1101,1109,20,30
1163,1112,1141,30,30
1164,1127,1185,40,30
1167,1144,1236,50,30
1168,1149,1282,60,30
1085,888,814,-60,20
1101,915,847,-50,20
1120,945,886,-40,20
1129,973,916,-30,20
1142,1002,955,-20,20
1144,1024,981,-10,20
1156,1055,1024,0,20
1159,1079,1058,10,20
1164,1106,1097,20,20
1168,1122,1131,30,20
1168,1137,1170,40,20
1165,1145,1200,50,20
1164,1160,1233,60,20
1130,922,856,-60,10
1141,948,880,-50,10
1147,969,908,-40,10
1148,988,931,-30,10
1153,1013,963,-20,10
1158,1041,995,-10,10
1160,1063,1024,0,10
1166,1091,1061,10,10
1162,1104,1081,20,10
1167,1133,1123,30,10
1164,1147,1140,40,10
1162,1156,1164,50,10
1167,1176,1196,60,10
1177,953,887,-60,0
1172,964,901,-50,0
1170,980,924,-40,0
1168,999,943,-30,0
1169,1026,971,-20,0
1168,1051,1002,-10,0
1172,1077,1032,0,0
1167,1096,1054,10,0
1168,1118,1078,20,0
1167,1139,1103,30,0
1165,1160,1128,40,0
1165,1181,1150,50,0
1169,1196,1165,60,0
1210,970,905,-60,-10
1202,979,916,-50,-10
1194,996,932,-40,-10
1192,1017,956,-30,-10
1181,1035,975,-20,-10
1182,1065,1005,-10,-10
1180,1087,1028,0,-10
1175,1115,1054,10,-10
1172,1137,1076,20,-10
1171,1161,1098,30,-10
1164,1177,1106,40,-10
1165,1203,1130,50,-10
1168,1226,1147,60,-10
1259,988,921,-60,-20
1236,995,930,-50,-20
1223,1007,943,-40,-20
1213,1028,963,-30,-20
1201,1048,985,-20,-20
1189,1070,1007,-10,-20
1182,1096,1031,0,-20
1178,1111,1042,10,-20
1175,1143,1067,20,-20
1169,1167,1080,30,-20
1172,1204,1107,40,-20
1171,1229,1119,50,-20
1163,1256,1124,60,-20
1300,994,927,-60,-30
1270,1002,938,-50,-30
1242,1017,952,-40,-30
1222,1033,971,-30,-30
1211,1057,991,-20,-30
1198,1074,1007,-10,-30
1184,1092,1019,0,-30
1182,1128,1049,10,-30
1181,1159,1072,20,-30
1173,1185,1084,30,-30
1172,1226,1104,40,-30
1165,1256,1108,50,-30
1163,1297,1115,60,-30
1359,1007,944,-60,-40
1304,1016,950,-50,-40
1259,1018,954,-40,-40
1236,1044,979,-30,-40
1217,1064,996,-20,-40
1196,1076,1005,-10,-40
1188,1102,1025,0,-40
1180,1131,1044,10,-40
1176,1161,1063,20,-40
1171,1195,1081,30,-40
1162,1227,1086,40,-40
1163,1281,1097,50,-40
1165,1359,1115,60,-40
