872,671,580,X,Y
977,778,700,-60,40
1033,845,780,-50,40
1071,895,840,-40,40
1100,937,890,-30,40
1115,968,932,-20,40
1131,1002,976,-10,40
1144,1030,1019,0,40
1148,1051,1056,10,40
1151,1070,1092,20,40
1155,1087,1137,30,40
1165,1111,1197,40,40
1163,1116,1248,50,40
1165,1129,1331,60,40
1037,838,767,-60,30
1065,874,813,-50,30
1088,911,855,-40,30
1110,947,899,-30,30
1130,981,942,-20,30
1142,1012,986,-10,30
1147,1037,1020,0,30
1151,1057,1052,10,30
1157,1080,1094,20,30
1162,1100,1136,30,30
1164,1116,1181,40,30
1166,1131,1230,50,30
1163,1133,1270,60,30
1083,878,813,-60,20
1094,898,839,-50,20
1112,931,876,-40,20
1125,959,913,-30,20
1136,987,945,-20,20
1142,1012,980,-10,20
1149,1038,1014,0,20
1157,1071,1060,10,20
1157,1086,1086,20,20
1161,1107,1124,30,20
1164,1124,1161,40,20
1166,1140,1198,50,20
1163,1144,1221,60,20
1130,913,851,-60,10
1133,929,869,-50,10
1140,951,896,-40,10
1145,977,927,-30,10
1152,1004,959,-20,10
1153,1025,986,-10,10
1156,1051,1017,0,10
1156,1069,1045,10,10
1162,1095,1078,20,10
1162,1117,1109,30,10
1160,1131,1134,40,10
1162,1149,1164,50,10
1162,1158,1186,60,10
1165,939,877,-60,0
1166,953,893,-50,0
1167,975,918,-40,0
1162,990,937,-30,0
1163,1015,964,-20,0
1161,1036,990,-10,0
1160,1060,1016,0,0
1157,1081,1040,10,0
1157,1103,1065,20,0
1161,1134,1100,30,0
1159,1147,1118,40,0
1159,1163,1137,50,0
1161,1183,1156,60,0
1206,961,899,-60,-10
1198,970,911,-50,-10
1187,983,926,-40,-10
1183,1005,950,-30,-10
1177,1028,973,-20,-10
1173,1049,997,-10,-10
1168,1069,1015,0,-10
1167,1097,1042,10,-10
1164,1118,1062,20,-10
1161,1141,1085,30,-10
1160,1167,1109,40,-10
1157,1184,1118,50,-10
1156,1206,1130,60,-10
1253,976,916,-60,-20
1233,985,924,-50,-20
1213,994,937,-40,-20
1200,1014,958,-30,-20
1190,1035,976,-20,-20
1180,1053,995,-10,-20
1171,1076,1015,0,-20
1170,1101,1039,10,-20
1169,1131,1062,20,-20
1160,1150,1074,30,-20
1162,1186,1093,40,-20
1156,1210,1105,50,-20
1158,1240,1115,60,-20
1297,987,921,-60,-30
1261,990,927,-50,-30
1237,1007,945,-40,-30
1212,1018,958,-30,-30
1200,1038,977,-20,-30
1183,1055,993,-10,-30
1178,1081,1016,0,-30
1175,1110,1038,10,-30
1169,1132,1053,20,-30
1167,1168,1074,30,-30
1160,1200,1086,40,-30
1159,1236,1100,50,-30
1159,1277,1103,60,-30
1346,989,932,-60,-40
1286,992,933,-50,-40
1252,1005,945,-40,-40
1226,1020,961,-30,-40
1205,1039,978,-20,-40
1188,1060,993,-10,-40
1182,1086,1014,0,-40
1172,1111,1031,10,-40
1167,1142,1050,20,-40
1163,1174,1065,30,-40
1159,1216,1080,40,-40
1158,1266,1093,50,-40
1160,1334,1104,60,-40
